Name,Pokedex Number,Generation,Stage,Egg Group 1,Egg Grioup 2,Type 1,Type 2,Baby Stage,Evolves By,Basic Stage,Evolves By,Stage 1,Evolves By,Stage 2,Evolves By,Basic Stage Alternative 1,Evolves By,Basic Stage Alternative 2,Evolves By,Stage 1 Alternate 1,Evolves By,Stage 1 Alternate 2,Evolves By,Stage 1 Alternate 3,Evolves By,Stage 1 Alternate 4,Evolves By,Stage 1 Alternate 5,Evolves By,Stage 1 Alternate 6,Evolves By,Stage 1 Alternate 7,Evolves By,Stage 2 Alternate,,,,,,,,,,,,,,,,,,,,,,,
Staryu,120,1,1,Water 3,,Water,,,,this,Water Stone,Starmie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starmie,121,1,2,Water 3,,Water,,,,Staryu,Water Stone,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Mime,122,1,1,Human-Like,,Psychic,Fairy,Mime Jr.,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galarian Mr. Mime,122,1,1,Human-Like,,Ice,Fairy,Mime Jr.,Level Up in Galar,this,Ice Stone,Mr. Rime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scyther,123,1,1,Bug,,Bug,Flying,,,this,Trade with Metal Coat,Scizor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jynx,124,1,1,Human-Like,,Ice,Psychic,Smoochum,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electabuzz,125,1,1,Human-Like,,Electric,,Elekid,Level Up,this,Trade with Electirizer,Electrivire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magmar,126,1,1,Human-Like,,Fire,,Magby,Level Up,this,Trade with Magmarizer,Magmortar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinsir,127,1,1,Bug,,Bug,,,,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tauros,128,1,1,Field,,Normal,,,,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magikarp,129,1,1,Water 2,Dragon,Water,,,,this,Level Up,Gyarados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gyarados,130,1,2,Water 2,Dragon,Water,Flying,,,Magikarp,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lapras,131,1,1,Monster,Water 1,Water,Ice,,,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ditto,132,1,1,Ditto,,Normal,,,,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eevee,133,1,1,Field,,Normal,,,,this,Water Stone,Vaporeon,,,,,,,Thunder Stone,Jolteon,Fire Stone,Flareon,Friendship (During the Day),Espeon,Friendship (During the Night),Umbreon,Near Moss Stone (Gen 4 - 7) or Leaf Stone (Gen 8+),Leafeon,Near Icy Stone (Gen 4 - 7) or Ice Stone (Gen 8+),Glaceon,Happiness while knowing a Fairy Type Move,Sylveon,,,,,,,,,,,,,,,,,,,,,,,,,
Vaporeon,134,1,2,Field,,Water,,,,Eevee,Water Stone,this,,,,,,,Thunder Stone,Jolteon,Fire Stone,Flareon,Friendship (During the Day),Espeon,Friendship (During the Night),Umbreon,Near Moss Stone (Gen 4 - 7) or Leaf Stone (Gen 8+),Leafeon,Near Icy Stone (Gen 4 - 7) or Ice Stone (Gen 8+),Glaceon,Happiness while knowing a Fairy Type Move,Sylveon,,,,,,,,,,,,,,,,,,,,,,,,,
Jolteon,135,1,2,Field,,Electric,,,,Eevee,Water Stone,Vaporeon,,,,,,,Water Stone,this,Fire Stone,Flareon,Friendship (During the Day),Espeon,Friendship (During the Night),Umbreon,Near Moss Stone (Gen 4 - 7) or Leaf Stone (Gen 8+),Leafeon,Near Icy Stone (Gen 4 - 7) or Ice Stone (Gen 8+),Glaceon,Happiness while knowing a Fairy Type Move,Sylveon,,,,,,,,,,,,,,,,,,,,,,,,,
Flareon,136,1,2,Field,,Fire,,,,Eevee,Water Stone,Vaporeon,,,,,,,Water Stone,Jolteon,Fire Stone,this,Friendship (During the Day),Espeon,Friendship (During the Night),Umbreon,Near Moss Stone (Gen 4 - 7) or Leaf Stone (Gen 8+),Leafeon,Near Icy Stone (Gen 4 - 7) or Ice Stone (Gen 8+),Glaceon,Happiness while knowing a Fairy Type Move,Sylveon,,,,,,,,,,,,,,,,,,,,,,,,,
Porygon,137,1,1,Minearl,,Normal,,,,this,Trade with Upgrade,Porygon2,Trade with Dubious Disc,Porygon-Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omanyte,138,1,1,Water 1,Water 3,Water,Rock,,,this,Level Up,Omastar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omastar,139,1,2,Water 1,Water 3,Water,Rock,,,Omanyte,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kabuto,140,1,1,Water 1,Water 3,Water,Rock,,,this,Level Up,Kabutops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kabutops,141,1,2,Water 1,Water 3,Water,Rock,,,Kabuto,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerodactyl,142,1,1,Flying,,Rock,Flying,,,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snorlax,143,1,1,Monster,,Normal,,Munchlax,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Articuno,144,1,1,Undiscovered,,Ice,Flying,,,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galarian Articuno,144,1,1,Undiscovered,,Psychic,Flying,,,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zapdos,145,1,1,Undiscovered,,Electric,Flying,,,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galarian Zapdos,145,1,1,Undiscovered,,Fighting,Flying,,,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moltres,146,1,1,Undiscovered,,Fire,Flying,,,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galarian Moltres,146,1,1,Undiscovered,,Dark,Flying,,,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dratini,147,1,1,Water 1,Dragon,Dragon,,,,this,Level Up,Dragonair,Level Up,Dragonite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonair,148,1,2,Water 1,Dragon,Dragon,,,,Dratini,Level Up,this,Level Up,Dragonite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonite,149,1,3,Water 1,Dragon,Dragon,Flying,,,Dratini,Level Up,Dragonair,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mewtwo,150,1,1,Undiscovered,,Pyschic,,,,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mew,151,1,1,Undiscovered,,Pyschic,,,,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chikorita,152,2,1,Monster,Grass,Grass,,,,this,Level Up,Bayleef,Level Up,Meganium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayleef,153,2,2,Monster,Grass,Grass,,,,Chikorita,Level Up,this,Level Up,Meganium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meganium,154,2,3,Monster,Grass,Grass,,,,Chikorita,Level Up,Bayleef,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyndaquil,155,2,1,Field,,Fire,,,,this,Level Up,Quilava,Level Up,Typhlosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quilava,156,2,2,Field,,Fire,,,,Cyndaquill,Level Up,this,Level Up,Typhlosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Typhlosion,157,2,3,Field,,Fire,,,,Cyndaquill,Level Up,Quilava,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totodile,158,2,1,Monster,Water 1,Water,,,,this,Level Up,Croconaw,Level Up,Feraligatr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croconaw,159,2,2,Monster,Water 1,Water,,,,Totodile,Level Up,this,Level Up,Feraligatr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feraligatr,160,2,3,Monster,Water 1,Water,,,,Totodile,Level Up,Croconaw,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sentret,161,2,1,Field,,Normal,,,,this,Level Up,Furret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furret,162,2,2,Field,,Normal,,,,Sentret,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoothoot,163,2,1,Flying,,Normal,Flying,,,this,Level Up,Noctowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noctowl,164,2,2,Flying,,Normal,Flying,,,Hoothoot,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ledyba,165,2,1,Bug,,Bug,Flying,,,this,Level Up,Ledian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ledian,166,2,2,Bug,,Bug,Flying,,,Ledyba,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spinarak,167,2,1,Bug,,Bug,Poison,,,this,Level Up,Ariados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariados,168,2,2,Bug,,Bug,Poison,,,Spinarak,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crobat,169,2,3,Flying,,Poison,Flying,,,Zubat,Level Up,Golbat,Friendship,Crobat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinchou,170,2,1,Water 2,,Water,Electric,,,this,Level Up,Lanturn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanturn,171,2,2,Water 2,,Water,Electric,,,Chinchou,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichu,172,2,0,Undiscovered,,Electric,,this,Friendship,Pikachu,Thunder Stone,Raichu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleffa,173,2,0,Undiscovered,,Fairy,,this,Friendship,Clefairy,Moon Stone,Clefable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igglybuff,174,2,0,Undiscovered,,Fairy,,this,Friendship,Jigglypuff,Moon Stone,Wigglyfuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togepi,175,2,0,Undiscovered,,Fairy,,this,Friendship,Togetic,Shiny Stone,Togekiss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togetic,176,2,1,Flying,Fairy,Fairy,Flying,Togepi,Friendship,this,Shiny Stone,Togekiss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natu,177,2,1,Flying,,Psychic,Flying,,,this,Level Up,Xatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xatu,178,2,2,Flying,,Psychic,Flying,,,Natu,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mareep,179,2,1,Monster,Field,Electric,,,,this,Level Up,Flaffy,Level Up,Ampharos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flaffy,180,2,2,Monster,Field,Electric,,,,Mareep,Level Up,this,Level Up,Ampharos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ampharos,181,2,3,Monster,Field,Electric,,,,Mareep,Level Up,Flaffy,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellossom,182,2,3,Grass,,Grass,,,,Oddish,Level Up,Gloom,Leaf Stone,Vileplume,,,,,,,,,,,,,,,,,,,Sun Stone,this,,,,,,,,,,,,,,,,,,,,,,,
Marill,183,2,1,Water 1,Fairy,Water,Fairy,Azurill,Friendship,this,Level Up,Azumarill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azumarill,184,2,2,Water 1,Fairy,Water,Fairy,Azurill,Friendship,Marill,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudowoodo,185,2,1,Mineral,,Rock,,Bonsley,Level Up while knowing Mimic,this,Level Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Politoed,186,2,3,Water 1,,Water,,,,Poliwag,Level Up,Poliwhirl,Water Stone,Poliwrath,,,,,,,,,,,,,,,,,,,Trade with Kings Rock,this,,,,,,,,,,,,,,,,,,,,,,,
Hoppip,187,2,1,Fairy,Grass,Grass,Flying,,,this,Level Up,Skiploom,Level Up,Jumpluff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skiploom,188,2,2,Fairy,Grass,Grass,Flying,,,Hoppip,Level Up,this,Level Up,Jumpluff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jumpluff,189,2,3,Fairy,Grass,Grass,Flying,,,Hoppip,Level Up,Skiploom,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aipom,190,2,1,Field,,Normal,,,,this,Level Up with Double Hit,Ambipom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunkern,191,2,1,Grass,,Grass,,,,this,Sun Stone,Sunflora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunflora,192,2,2,Grass,,Grass,,,,Sunkern,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yanma,193,2,1,Bug,,Bug,Flying,,,this,Level Up with Ancient Power,Yanmega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wooper,194,2,1,Water 1,Field,Water,Ground,,,this,Level Up,Quagsire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quagsire,195,2,2,Water 1,Field,Water,Ground,,,Wooper,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Espeon,196,2,2,Field,,Psychic,,,,Eevee,Water Stone,Vaporeon,,,,,,,Thunder Stone,Jolteon,Fire Stone,Flareon,Friendship (During the Day),this,Friendship (During the Night),Umbreon,Near Moss Stone (Gen 4 - 7) or Leaf Stone (Gen 8+),Leafeon,Near Icy Stone (Gen 4 - 7) or Ice Stone (Gen 8+),Glaceon,Happiness while knowing a Fairy Type Move,Sylveon,,,,,,,,,,,,,,,,,,,,,,,,,
Umbreon,197,2,2,Field,,Dark,,,,Eevee,Water Stone,Vaporeon,,,,,,,Thunder Stone,Jolteon,Fire Stone,Flareon,Friendship (During the Day),Espeon,Friendship (During the Night),this,Near Moss Stone (Gen 4 - 7) or Leaf Stone (Gen 8+),Leafeon,Near Icy Stone (Gen 4 - 7) or Ice Stone (Gen 8+),Glaceon,Happiness while knowing a Fairy Type Move,Sylveon,,,,,,,,,,,,,,,,,,,,,,,,,
Murkrow,198,2,1,Flying,,Dark,Flying,,,this,Dusk Stone,Honchcrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slowking,199,2,2,Monster,Water 1,Water,Psychic,,,Slowpoke,Level Up,Slowbro,,,,,,,Trade with Kings Rock,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galarian Slowking,199,2,2,Monster,Water 1,Poison,Psychic,,,Galarian Slowpoke,Galarica Cuff,Galarian Slowbro,,,,,,,Galarica Wreath,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misdreavus,200,2,1,Amorphous,,Ghost,,,,this,Dusk Stone,Mismagius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unown,201,2,1,Undiscovered,,Psychic,,,,this,,,,,,,,,,,,,,,,,,,,,,,,,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,!,?
Wobbuffet,202,2,1,Amorphous,,Psychic,,Wynaut,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Girafarig,203,2,1,Field,,Psychic,,,,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pineco,204,2,1,Bug,,Bug,,,,this,Level Up,Forretress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forretress,205,2,1,Bug,,Bug,Steel,,,Pineco,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunsparce,206,2,1,Field,,Normal,,,,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gligar,207,2,1,Bug,,Ground,Flying,,,this,Level Up with Razor Fang during the Night,Gliscor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steelix,208,2,2,Mineral,,Steel,Ground,,,Onix,Trade with Metal Coat,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snubble,209,2,1,Field,Fairy,Fairy,,,,this,Level Up,Granbull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granbull,210,2,2,Field,Fairy,Fairy,,,,Snubble,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwilfish,211,2,1,Water 2,,Water,Poison,,,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scizor,212,2,2,Bug,,Bug,Steel,,,Scyther,Trade with Metal Coat,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shuckle,213,2,1,Bug,,Rock,Water,,,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heracross,214,2,1,Bug,,Bug,Fighting,,,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sneasel,215,2,1,Field,,Dark,Ice,,,this,Level Up with Razor Claw at Night,Weavile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teddiursa,216,2,1,Field,,Normal,,,,this,Level Up,Ursaring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ursaring,217,2,2,Field,,Normal,,,,Teddiursa,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slugma,218,2,1,Amorphous,,Fire,,,,this,Level Up,Magcargo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magcargo,219,2,2,Amorphous,,Fire,Rock,,,Slugma,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swinub,220,2,1,Field,,Ground,Ice,,,this,Level Up,Piloswine,Level Up with Ancient Power,Mamoswine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piloswine,221,2,2,Field,,Ground,Ice,,,Swinub,Level Up,this,Level Up with Ancient Power,Mamoswine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsola,222,2,1,Water 1,Water 3,Water,Rock,,,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galarian Corsola,222,2,1,Water 1,Water 3,Ghost,,,,this,Level Up,Cursola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remoraid,223,2,1,Water 1,Water 2,Water,,,,this,Level Up,Octillery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Octillery,224,2,2,Water 1,Water 2,Water,,,,Remoraid,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delibird,225,2,1,Water 1,Field,Ice,Flying,,,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mantine,226,2,1,Water 1,,Water,Flying,Mantyke,Level Up with Remoraid in the party,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skarmory,227,2,1,Flying,,Steel,Flying,,,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houndour,228,2,1,Field,,Dark,Fire,,,this,Level Up,Houndoom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houndoom,229,2,2,Field,,Dark,Fire,,,Houndour,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingdra,230,2,3,Water 1,Dragon,Water,Dragon,,,Horsea,Level Up,Seadra,Trade with Dragon Scale,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phanpy,231,2,1,Field,,Ground,,,,this,Level Up,Donphan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donphan,232,2,2,Field,,Ground,,,,Phanphy,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porygon2,233,2,2,Mineral,,Normal,,,,Porygon,Trade with Upgrade,this,Trade with Doubious Disc,Porygon-Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stantler,234,2,1,Field,,Normal,,,,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smeargle,235,2,1,Field,,Normal,,,,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrogue,236,2,0,Undiscovered,,Fighting,,this,Level Up with Attack higher than Defence,Hitmonlee,,,,,Level Up with Defence higher than Attack,Hitmonchan,Level Up with Attack equal to Defence,Hitmontop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hitmontop,237,2,1,Human-Like,,Fighting,,Tyrogue,Level Up with Attack higher than Defence,Hitmonlee,,,,,Level Up with Defence higher than Attack,Hitmonchan,Level Up with Attack equal to Defence,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smoochum,238,2,0,Undiscovered,,Ice,Psychic,this,Level Up,Jynx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elekid,239,2,0,Undiscovered,,Electric,,this,Level Up,Electabuzz,Trade with Electirizer,Electrivire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magby,240,2,0,Undiscovered,,Fire,,this,Level Up,Magmar,Trade with Magmarizer,Magmortar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miltank,241,2,1,Field,,Normal,,,,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blissey,242,2,2,Fairy,,Normal,,Happiny,Level Up while Holding an Oval Stone during the day,Chansey,Friendship,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raikou,243,2,1,Undiscovered,,Electric,,,,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entei,244,2,1,Undiscovered,,Fire,,,,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suicune,245,2,1,Undiscovered,,Water,,,,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larvitar,246,2,1,Monster,,Rock,Ground,,,this,Level Up,Pupitar,Level Up,Tyranitar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pupitar,247,2,2,Monster,,Rock,Ground,,,Larvitar,Level Up,this,Level Up,Tyranitar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyranitar,248,2,3,Monster,,Rock,Dark,,,Larvitar,Level Up,Pupitar,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lugia,249,2,1,Undiscovered,,Psychic,Flying,,,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ho-Oh,250,2,1,Undiscovered,,Fire,Flying,,,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celebi,251,2,1,Undiscovered,,Grass,Fairy,,,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treecko,252,3,1,Monster,Dragon,Grass,,,,this,Level Up,Grovyle,Level Up,Sceptile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grovyle,253,3,2,Monster,Dragon,Grass,,,,Treecko,Level Up,this,Level Up,Sceptile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sceptile,254,3,3,Monster,Dragon,Grass,,,,Treecko,Level Up,Grovyle,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torchic,255,3,1,Field,,Fire,,,,this,Level Up,Combusken,Level Up,Blaziken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combusken,256,3,2,Field,,Fire,Fighting,,,Torchic,Level Up,this,Level Up,Blaziken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaziken,257,3,3,Field,,Fire,Fighting,,,Torchic,Level Up,Combusken,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
