Method Name,Game,Type,Effected By Shiny Charm,Automatically Applied,Chance of Being Applied,Chain/Encounter/etc Required,Odds,Odds (Percent),Odds (1/x),Shiny Charm Odds,Shiny Charm Odds (Percent),Shiny Charm Odds (1/x),Description,Pokemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poke Radar,Platinum,Chain Length,No,Yes,1,16,0.00021363,0.021363,4681,0.00021363,0.021363,4681,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Stantler,Smeargle,Tyrogue,Miltank,Poochyena,Swellow,Kirlia,Nincada,Loudred,Torkoal,Baltoy,Bagon,,,,,,,,
Poke Radar,Diamond,Chain Length,No,Yes,1,18,0.000228885,0.0228885,4369,0.000228885,0.0228885,4369,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Smeargle,Tyrogue,Miltank,Larvitar,Mightyena,Swellow,Ralts,Kirlia,Nincada,Loudred,Aron,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Kecleon,Duskull,Dusclops,Snorunt
Poke Radar,Pearl,Chain Length,No,Yes,1,18,0.000228885,0.0228885,4369,0.000228885,0.0228885,4369,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Houndoom,Stantler,Smeargle,Tyrogue,Miltank,Swellow,Ralts,Kirlia,Nincada,Loudred,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Duskull,Dusclops,Snorunt,Bagon
Poke Radar,Platinum,Chain Length,No,Yes,1,18,0.000228885,0.0228885,4369,0.000228885,0.0228885,4369,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Stantler,Smeargle,Tyrogue,Miltank,Poochyena,Swellow,Kirlia,Nincada,Loudred,Torkoal,Baltoy,Bagon,,,,,,,,
Poke Radar,Diamond,Chain Length,No,Yes,1,20,0.000244133,0.0244133,4096,0.000244133,0.0244133,4096,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Smeargle,Tyrogue,Miltank,Larvitar,Mightyena,Swellow,Ralts,Kirlia,Nincada,Loudred,Aron,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Kecleon,Duskull,Dusclops,Snorunt
Poke Radar,Pearl,Chain Length,No,Yes,1,20,0.000244133,0.0244133,4096,0.000244133,0.0244133,4096,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Houndoom,Stantler,Smeargle,Tyrogue,Miltank,Swellow,Ralts,Kirlia,Nincada,Loudred,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Duskull,Dusclops,Snorunt,Bagon
Poke Radar,Platinum,Chain Length,No,Yes,1,20,0.000244133,0.0244133,4096,0.000244133,0.0244133,4096,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Stantler,Smeargle,Tyrogue,Miltank,Poochyena,Swellow,Kirlia,Nincada,Loudred,Torkoal,Baltoy,Bagon,,,,,,,,
Poke Radar,Diamond,Chain Length,No,Yes,1,21,0.000259391,0.0259391,3855,0.000259391,0.0259391,3855,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Smeargle,Tyrogue,Miltank,Larvitar,Mightyena,Swellow,Ralts,Kirlia,Nincada,Loudred,Aron,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Kecleon,Duskull,Dusclops,Snorunt
Poke Radar,Pearl,Chain Length,No,Yes,1,21,0.000259391,0.0259391,3855,0.000259391,0.0259391,3855,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Houndoom,Stantler,Smeargle,Tyrogue,Miltank,Swellow,Ralts,Kirlia,Nincada,Loudred,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Duskull,Dusclops,Snorunt,Bagon
Poke Radar,Platinum,Chain Length,No,Yes,1,21,0.000259391,0.0259391,3855,0.000259391,0.0259391,3855,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Stantler,Smeargle,Tyrogue,Miltank,Poochyena,Swellow,Kirlia,Nincada,Loudred,Torkoal,Baltoy,Bagon,,,,,,,,
Poke Radar,Diamond,Chain Length,No,Yes,1,22,0.00027465,0.027465,3641,0.00027465,0.027465,3641,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Smeargle,Tyrogue,Miltank,Larvitar,Mightyena,Swellow,Ralts,Kirlia,Nincada,Loudred,Aron,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Kecleon,Duskull,Dusclops,Snorunt
Poke Radar,Pearl,Chain Length,No,Yes,1,22,0.00027465,0.027465,3641,0.00027465,0.027465,3641,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Houndoom,Stantler,Smeargle,Tyrogue,Miltank,Swellow,Ralts,Kirlia,Nincada,Loudred,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Duskull,Dusclops,Snorunt,Bagon
Poke Radar,Platinum,Chain Length,No,Yes,1,22,0.00027465,0.027465,3641,0.00027465,0.027465,3641,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Stantler,Smeargle,Tyrogue,Miltank,Poochyena,Swellow,Kirlia,Nincada,Loudred,Torkoal,Baltoy,Bagon,,,,,,,,
Poke Radar,Diamond,Chain Length,No,Yes,1,23,0.000289908,0.0289908,3449,0.000289908,0.0289908,3449,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Smeargle,Tyrogue,Miltank,Larvitar,Mightyena,Swellow,Ralts,Kirlia,Nincada,Loudred,Aron,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Kecleon,Duskull,Dusclops,Snorunt
Poke Radar,Pearl,Chain Length,No,Yes,1,23,0.000289908,0.0289908,3449,0.000289908,0.0289908,3449,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Houndoom,Stantler,Smeargle,Tyrogue,Miltank,Swellow,Ralts,Kirlia,Nincada,Loudred,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Duskull,Dusclops,Snorunt,Bagon
Poke Radar,Platinum,Chain Length,No,Yes,1,23,0.000289908,0.0289908,3449,0.000289908,0.0289908,3449,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Stantler,Smeargle,Tyrogue,Miltank,Poochyena,Swellow,Kirlia,Nincada,Loudred,Torkoal,Baltoy,Bagon,,,,,,,,
Poke Radar,Diamond,Chain Length,No,Yes,1,24,0.000305166,0.0305166,3277,0.000305166,0.0305166,3277,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Smeargle,Tyrogue,Miltank,Larvitar,Mightyena,Swellow,Ralts,Kirlia,Nincada,Loudred,Aron,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Kecleon,Duskull,Dusclops,Snorunt
Poke Radar,Pearl,Chain Length,No,Yes,1,24,0.000305166,0.0305166,3277,0.000305166,0.0305166,3277,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Houndoom,Stantler,Smeargle,Tyrogue,Miltank,Swellow,Ralts,Kirlia,Nincada,Loudred,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Duskull,Dusclops,Snorunt,Bagon
Poke Radar,Platinum,Chain Length,No,Yes,1,24,0.000305166,0.0305166,3277,0.000305166,0.0305166,3277,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Stantler,Smeargle,Tyrogue,Miltank,Poochyena,Swellow,Kirlia,Nincada,Loudred,Torkoal,Baltoy,Bagon,,,,,,,,
Poke Radar,Diamond,Chain Length,No,Yes,1,25,0.000320425,0.0320425,3121,0.000320425,0.0320425,3121,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Smeargle,Tyrogue,Miltank,Larvitar,Mightyena,Swellow,Ralts,Kirlia,Nincada,Loudred,Aron,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Kecleon,Duskull,Dusclops,Snorunt
Poke Radar,Pearl,Chain Length,No,Yes,1,25,0.000320425,0.0320425,3121,0.000320425,0.0320425,3121,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Houndoom,Stantler,Smeargle,Tyrogue,Miltank,Swellow,Ralts,Kirlia,Nincada,Loudred,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Duskull,Dusclops,Snorunt,Bagon
Poke Radar,Platinum,Chain Length,No,Yes,1,25,0.000320425,0.0320425,3121,0.000320425,0.0320425,3121,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Stantler,Smeargle,Tyrogue,Miltank,Poochyena,Swellow,Kirlia,Nincada,Loudred,Torkoal,Baltoy,Bagon,,,,,,,,
Poke Radar,Diamond,Chain Length,No,Yes,1,26,0.000335683,0.0335683,2979,0.000335683,0.0335683,2979,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Smeargle,Tyrogue,Miltank,Larvitar,Mightyena,Swellow,Ralts,Kirlia,Nincada,Loudred,Aron,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Kecleon,Duskull,Dusclops,Snorunt
Poke Radar,Pearl,Chain Length,No,Yes,1,26,0.000335683,0.0335683,2979,0.000335683,0.0335683,2979,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Houndoom,Stantler,Smeargle,Tyrogue,Miltank,Swellow,Ralts,Kirlia,Nincada,Loudred,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Duskull,Dusclops,Snorunt,Bagon
Poke Radar,Platinum,Chain Length,No,Yes,1,26,0.000335683,0.0335683,2979,0.000335683,0.0335683,2979,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Stantler,Smeargle,Tyrogue,Miltank,Poochyena,Swellow,Kirlia,Nincada,Loudred,Torkoal,Baltoy,Bagon,,,,,,,,
Poke Radar,Diamond,Chain Length,No,Yes,1,27,0.0003662,0.03662,2731,0.0003662,0.03662,2731,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Smeargle,Tyrogue,Miltank,Larvitar,Mightyena,Swellow,Ralts,Kirlia,Nincada,Loudred,Aron,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Kecleon,Duskull,Dusclops,Snorunt
Poke Radar,Pearl,Chain Length,No,Yes,1,27,0.0003662,0.03662,2731,0.0003662,0.03662,2731,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Houndoom,Stantler,Smeargle,Tyrogue,Miltank,Swellow,Ralts,Kirlia,Nincada,Loudred,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Duskull,Dusclops,Snorunt,Bagon
Poke Radar,Platinum,Chain Length,No,Yes,1,27,0.0003662,0.03662,2731,0.0003662,0.03662,2731,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Stantler,Smeargle,Tyrogue,Miltank,Poochyena,Swellow,Kirlia,Nincada,Loudred,Torkoal,Baltoy,Bagon,,,,,,,,
Poke Radar,Diamond,Chain Length,No,Yes,1,28,0.000396716,0.0396716,2521,0.000396716,0.0396716,2521,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Smeargle,Tyrogue,Miltank,Larvitar,Mightyena,Swellow,Ralts,Kirlia,Nincada,Loudred,Aron,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Kecleon,Duskull,Dusclops,Snorunt
Poke Radar,Pearl,Chain Length,No,Yes,1,28,0.000396716,0.0396716,2521,0.000396716,0.0396716,2521,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Houndoom,Stantler,Smeargle,Tyrogue,Miltank,Swellow,Ralts,Kirlia,Nincada,Loudred,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Duskull,Dusclops,Snorunt,Bagon
Poke Radar,Platinum,Chain Length,No,Yes,1,28,0.000396716,0.0396716,2521,0.000396716,0.0396716,2521,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Stantler,Smeargle,Tyrogue,Miltank,Poochyena,Swellow,Kirlia,Nincada,Loudred,Torkoal,Baltoy,Bagon,,,,,,,,
Poke Radar,Diamond,Chain Length,No,Yes,1,29,0.000427233,0.0427233,2341,0.000427233,0.0427233,2341,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Smeargle,Tyrogue,Miltank,Larvitar,Mightyena,Swellow,Ralts,Kirlia,Nincada,Loudred,Aron,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Kecleon,Duskull,Dusclops,Snorunt
Poke Radar,Pearl,Chain Length,No,Yes,1,29,0.000427233,0.0427233,2341,0.000427233,0.0427233,2341,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Houndoom,Stantler,Smeargle,Tyrogue,Miltank,Swellow,Ralts,Kirlia,Nincada,Loudred,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Duskull,Dusclops,Snorunt,Bagon
Poke Radar,Platinum,Chain Length,No,Yes,1,29,0.000427233,0.0427233,2341,0.000427233,0.0427233,2341,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Stantler,Smeargle,Tyrogue,Miltank,Poochyena,Swellow,Kirlia,Nincada,Loudred,Torkoal,Baltoy,Bagon,,,,,,,,
Poke Radar,Diamond,Chain Length,No,Yes,1,30,0.00045775,0.045775,2185,0.00045775,0.045775,2185,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Smeargle,Tyrogue,Miltank,Larvitar,Mightyena,Swellow,Ralts,Kirlia,Nincada,Loudred,Aron,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Kecleon,Duskull,Dusclops,Snorunt
Poke Radar,Pearl,Chain Length,No,Yes,1,30,0.00045775,0.045775,2185,0.00045775,0.045775,2185,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Houndoom,Stantler,Smeargle,Tyrogue,Miltank,Swellow,Ralts,Kirlia,Nincada,Loudred,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Duskull,Dusclops,Snorunt,Bagon
Poke Radar,Platinum,Chain Length,No,Yes,1,30,0.00045775,0.045775,2185,0.00045775,0.045775,2185,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Stantler,Smeargle,Tyrogue,Miltank,Poochyena,Swellow,Kirlia,Nincada,Loudred,Torkoal,Baltoy,Bagon,,,,,,,,
Poke Radar,Diamond,Chain Length,No,Yes,1,31,0.000503525,0.0503525,1986,0.000503525,0.0503525,1986,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Smeargle,Tyrogue,Miltank,Larvitar,Mightyena,Swellow,Ralts,Kirlia,Nincada,Loudred,Aron,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Kecleon,Duskull,Dusclops,Snorunt
Poke Radar,Pearl,Chain Length,No,Yes,1,31,0.000503525,0.0503525,1986,0.000503525,0.0503525,1986,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Houndoom,Stantler,Smeargle,Tyrogue,Miltank,Swellow,Ralts,Kirlia,Nincada,Loudred,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Duskull,Dusclops,Snorunt,Bagon
Poke Radar,Platinum,Chain Length,No,Yes,1,31,0.000503525,0.0503525,1986,0.000503525,0.0503525,1986,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Stantler,Smeargle,Tyrogue,Miltank,Poochyena,Swellow,Kirlia,Nincada,Loudred,Torkoal,Baltoy,Bagon,,,,,,,,
Poke Radar,Diamond,Chain Length,No,Yes,1,32,0.000564558,0.0564558,1771,0.000564558,0.0564558,1771,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Smeargle,Tyrogue,Miltank,Larvitar,Mightyena,Swellow,Ralts,Kirlia,Nincada,Loudred,Aron,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Kecleon,Duskull,Dusclops,Snorunt
Poke Radar,Pearl,Chain Length,No,Yes,1,32,0.000564558,0.0564558,1771,0.000564558,0.0564558,1771,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Houndoom,Stantler,Smeargle,Tyrogue,Miltank,Swellow,Ralts,Kirlia,Nincada,Loudred,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Duskull,Dusclops,Snorunt,Bagon
Poke Radar,Platinum,Chain Length,No,Yes,1,32,0.000564558,0.0564558,1771,0.000564558,0.0564558,1771,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Stantler,Smeargle,Tyrogue,Miltank,Poochyena,Swellow,Kirlia,Nincada,Loudred,Torkoal,Baltoy,Bagon,,,,,,,,
Poke Radar,Diamond,Chain Length,No,Yes,1,33,0.000625591,0.0625591,1598,0.000625591,0.0625591,1598,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Smeargle,Tyrogue,Miltank,Larvitar,Mightyena,Swellow,Ralts,Kirlia,Nincada,Loudred,Aron,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Kecleon,Duskull,Dusclops,Snorunt
