Name,Pokedex Number,Go,Shiny Available in Go,Red,Blue,Yellow,Gold,Silver,Crystal,Ruby,Sapphire,Emerald,Fire Red,Leaf Green,Diamond,Pearl,Platinum,Heart Gold,Soul Silver,Black,White,Black 2,White 2,X,Y,Omega Ruby,Alpha Sapphire,Sun,Moon,Ultra Sun,Ultra Moon,Lets Go Pikachu,Lets Go Eevee,Sword,Shield,Brilliant Diamond,Shining Pearl,Legends Arceus,Sexual Dimorphism,Mega Evolution,Gigantamax Form,Alternate Forms,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gulpin,316,Yes,No,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unknown,Unknown,Unknown,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swalot,317,Yes,No,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Evolve,Evolve,Evolve,No,No,Evolve,Evolve,Evolve,No,Evolve,No,No,Yes,Yes,Yes,Yes,Evolve,Evolve,No,No,No,No,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unknown,Unknown,Unknown,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carvanha,318,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Unobtainable,Unobtainable,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharpedo,319,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Yes,No,No,Yes,Yes,Evolve,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unobtainable,Unobtainable,Yes,Yes,Unknown,Unknown,Unknown,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wailmer,320,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unobtainable,Unobtainable,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wailord,321,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Evolve,Evolve,Evolve,Evolve,Yes,Yes,Yes,Yes,Unobtainable,Unobtainable,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numel,322,Yes,No,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unknown,Unknown,Unknown,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camerupt,323,Yes,No,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Evolve,Evolve,Evolve,No,No,Yes,Yes,Yes,Evolve,Evolve,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unknown,Unknown,Unknown,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torkoal,324,Yes,No,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unobtainable,Unobtainable,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spoink,325,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grumpig,326,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Evolve,Evolve,Evolve,No,No,Evolve,Evolve,Evolve,Evolve,Evolve,No,No,Yes,No,Yes,Yes,Evolve,Evolve,No,No,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spinda,327,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trapinch,328,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unobtainable,Unobtainable,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vibrava,329,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Evolve,Evolve,Evolve,No,No,Yes,Yes,No,Yes,Yes,No,Evolve,Yes,Yes,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Unobtainable,Unobtainable,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flygon,330,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Evolve,Evolve,Evolve,No,No,Evolve,Evolve,No,Evolve,Evolve,No,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Unobtainable,Unobtainable,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cacnea,331,Yes,No,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cacturne,332,Yes,No,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Evolve,Evolve,Evolve,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Evolve,Evolve,No,No,No,No,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unknown,Unknown,Unknown,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swablu,333,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Unobtainable,Unobtainable,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altaria,334,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Yes,No,No,Evolve,Evolve,Evolve,Evolve,Evolve,Yes,Yes,Yes,Yes,Yes,Yes,Evolve,Evolve,No,No,Yes,Yes,Unobtainable,Unobtainable,Yes,Yes,Unknown,Unknown,Unknown,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zangoose,335,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seviper,336,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lunatone,337,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Unobtainable,Unobtainable,No,Yes,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solrock,338,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Unobtainable,Unobtainable,Yes,No,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barboach,339,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unobtainable,Unobtainable,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whiscash,340,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unobtainable,Unobtainable,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corphish,341,Yes,No,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Unobtainable,Unobtainable,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crawdaunt,342,Yes,No,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Evolve,Evolve,Evolve,No,No,Yes,Yes,Yes,Evolve,Evolve,No,Evolve,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Unobtainable,Unobtainable,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baltoy,343,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Unobtainable,Unobtainable,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claydol,344,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Yes,No,No,Evolve,Evolve,Evolve,Evolve,No,Yes,Yes,Evolve,Evolve,No,No,Yes,Yes,No,No,No,Evolve,Unobtainable,Unobtainable,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lileep,345,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Unobtainable,Unobtainable,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cradily,346,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Evolve,Evolve,Evolve,No,No,Evolve,Evolve,Evolve,No,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,No,Evolve,Evolve,No,No,Evolve,Evolve,Unobtainable,Unobtainable,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anorith,347,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Unobtainable,Unobtainable,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armaldo,348,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Evolve,Evolve,Evolve,No,No,Evolve,Evolve,Evolve,Evolve,No,Evolve,Evolve,Evolve,Evolve,Evolve,No,Evolve,Evolve,No,No,Evolve,Evolve,Unobtainable,Unobtainable,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feebas,349,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Unobtainable,Unobtainable,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milotic,350,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Evolve,Evolve,Evolve,No,No,Evolve,Evolve,Evolve,No,No,Yes,Yes,Yes,Yes,No,No,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Unobtainable,Unobtainable,Yes,Yes,Unknown,Unknown,Unknown,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castform,351,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,One,One,One,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,One,One,Yes,Yes,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unknown,Unknown,Unknown,No,No,No,Sunny Form,Rainy Form,Snowy Form,,,,,,,,,,,,,,,,,,,,,,,,,
Kecleon,352,No,No,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shuppet,353,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banette,354,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Evolve,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Evolve,Evolve,Yes,Yes,Yes,Yes,Evolve,Evolve,No,No,Evolve,Evolve,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unknown,Unknown,Unknown,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duskull,355,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Unobtainable,Unobtainable,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dusclops,356,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Evolve,Evolve,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Evolve,Evolve,No,No,No,No,Unobtainable,Unobtainable,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tropius,357,Yes,No,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chimecho,358,Yes,No,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Evolve,Evolve,Yes,Yes,No,No,No,No,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absol,359,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unobtainable,Unobtainable,Yes,Yes,Unknown,Unknown,Unknown,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wynaut,360,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Unobtainable,Unobtainable,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snorunt,361,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unobtainable,Unobtainable,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glalie,362,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Evolve,Evolve,Evolve,No,No,Evolve,Evolve,Evolve,No,No,No,No,No,No,Evolve,Evolve,Evolve,Evolve,Yes,Yes,Yes,Yes,Unobtainable,Unobtainable,Yes,Yes,Unknown,Unknown,Unknown,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spheal,363,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unobtainable,Unobtainable,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sealeo,364,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Evolve,Evolve,Evolve,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Evolve,Evolve,Yes,Yes,Evolve,Evolve,Evolve,Evolve,Unobtainable,Unobtainable,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walrein,365,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Evolve,Evolve,Evolve,No,No,No,Evolve,Evolve,Evolve,Evolve,Yes,Yes,Yes,Yes,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Unobtainable,Unobtainable,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clamperl,366,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huntail,367,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Evolve,Evolve,Evolve,No,No,Evolve,Evolve,No,Evolve,Evolve,Yes,Evolve,Yes,Evolve,Yes,Evolve,Evolve,Evolve,No,No,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorebyss,368,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Evolve,Evolve,Evolve,No,No,Evolve,Evolve,No,Evolve,Evolve,Evolve,Yes,Evolve,Yes,Evolve,Yes,Evolve,Evolve,No,No,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relicanth,369,Yes,No,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unobtainable,Unobtainable,Yes,Yes,Unknown,Unknown,Unknown,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luvdisc,370,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bagon,371,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unobtainable,Unobtainable,Yes,No,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shelgon,372,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Evolve,Evolve,Evolve,No,No,No,Evolve,Evolve,Yes,Yes,No,Evolve,Evolve,Evolve,Yes,Yes,Evolve,Evolve,Yes,Yes,Yes,Yes,Unobtainable,Unobtainable,Evolve,No,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salamance,373,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Evolve,Evolve,Evolve,No,No,No,Evolve,Evolve,Evolve,Evolve,No,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Yes,Yes,Yes,Yes,Unobtainable,Unobtainable,Yes,No,Unknown,Unknown,Unknown,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beldum,374,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Unobtainable,Unobtainable,No,Yes,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metang,375,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Evolve,Evolve,Evolve,No,No,Evolve,Evolve,Evolve,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Unobtainable,Unobtainable,No,Yes,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metagross,376,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Evolve,Evolve,Evolve,No,No,Evolve,Evolve,Evolve,Evolve,Evolve,Yes,Yes,Yes,Yes,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Unobtainable,Unobtainable,No,Yes,Unknown,Unknown,Unknown,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regirock,377,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,One,One,One,No,No,No,No,One,No,No,No,No,One,One,No,No,One,One,No,No,One,One,Unobtainable,Unobtainable,One,One,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regice,378,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,One,One,One,No,No,No,No,One,No,No,No,No,One,One,No,No,One,One,No,No,One,One,Unobtainable,Unobtainable,One,One,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Registeel,379,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,One,One,One,No,No,No,No,One,No,No,No,No,One,One,No,No,One,One,No,No,One,One,Unobtainable,Unobtainable,One,One,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latias,380,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,No,One,One,No,No,No,No,No,One,No,No,No,No,No,No,No,No,One,No,No,No,One,Unobtainable,Unobtainable,No,One,Unknown,Unknown,Unknown,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latios,381,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,One,No,One,No,No,No,No,No,No,One,No,No,No,No,No,No,One,No,No,No,One,No,Unobtainable,Unobtainable,One,No,Unknown,Unknown,Unknown,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
